feature,lag_days,corr_with_tpmax
t2m_region,1,0.6084471325853635
t2m_region,3,0.6002204047084198
tp_region_mean_mm,1,0.5894760584474177
t2m_region,7,0.5692759530475578
u_region,3,-0.5691453459927904
u_region,1,-0.5649228277173929
u_region,7,-0.552212403769476
t2m_region,14,0.5315490379167598
r_region,1,0.5207459243704988
u_region,14,-0.519754922688892
r_region,3,0.5148283639263138
r_region,7,0.4625084325582264
t2m_region,30,0.42754817164356546
tcc_region,1,0.41184040301449665
u_region,30,-0.4103491612872663
tp_region_mean_mm,3,0.40802158230005336
r_region,14,0.40597599637584353
tcc_region,3,0.35933743901216
tp_region_mean_mm,7,0.33786435106721563
tp_region_mean_mm,14,0.3342477440492778
tp_region_mean_mm,30,0.31191922900867086
tcc_region,7,0.298370869376125
tcc_region,14,0.292385861716478
tcc_region,30,0.2691695106064479
r_region,30,0.26306054133563206
