date_IST,time_IST,event_tag,place,state_district,latitude,longitude,coord_tag,source,geocode_status
2021-07-27,20:00,Cloudburst/Flash flood,"Near Tozing Nallah, Lahaul & Spiti",Himachal Pradesh (Lahaul & Spiti),32.5,77.6,Approx (district proxy: Keylong) | Given,NDM India (uid=D323),Given
2021-07-28,13:00,Cloudburst,"Aloosa, Bandipora",Jammu & Kashmir (Bandipora),34.4234,74.5449,Approx (village coords) | Given,NDM India (uid=D323),Given
2021-07-28,17:30,Cloudburst,Shri Amarnath Ji (Holy cave area),Jammu & Kashmir (Ganderbal/Anantnag boundary),34.2156,75.5038,Approx (cave coords) | Given,NDM India (uid=D323),Given
2023-08-14,10:30,Cloudburst,"Jadon village, Kandaghat (Solan)",Himachal Pradesh (Solan),30.9659,77.1074,Approx (nearest: Kandaghat) | Given,Sphere India SitRep (14 Aug 2023),Given
2024-08-01,04:47,Cloudburst,"Near hydropower project, Jhakri (Rampur)",Himachal Pradesh (Shimla),32.046,78.1614,Approx (Jhakri) | Given,NDM India (uid=NEW2158),Given
2024-08-01,02:28,Cloudburst,"Near Tikkan Thalukot, Padhar tehsil",Himachal Pradesh (Mandi),32.0923,76.3389,Approx (nearest: Padhar) | Given,NDM India (uid=NEW2158),Given
2024-08-01,01:38,Cloudburst,"Near Jaon, Nirmand tehsil",Himachal Pradesh (Kullu),31.4581,77.6439,Approx (Jaon) | Given,NDM India (uid=NEW2158),Given
2024-08-01,05:42,Flash flood (grouped with cloudbursts),"Near Malana, Jari sub-tehsil",Himachal Pradesh (Kullu),31.9934,77.4641,Approx (Malana) | Given,NDM India (uid=NEW2158),Given
1988-09-29,02:30,Cloudburst / Flash flood,"Soldang Khad / Soldang village area, Satluj valley (Kinnaur), Himachal Pradesh, India",Himachal Pradesh (Kinnaur),,,To geocode (place-level) | Not found,"HP SDMA Flood Hazards: cloudburst flash flood in Soldang Khad (29 Sep 1988, 2:30 AM)",Not found
1991-07-31,,Cloudburst / Flash flood,"Soldan Khad, Satluj valley (Kinnaur), Himachal Pradesh, India",Himachal Pradesh (Kinnaur),,,To geocode (place-level) | Not found,HP SDMA Flood Hazards: cloudburst & flash flood along Soldan Khad (31 July 1991),Not found
1991-08-02,,Cloudburst / Flash flood,"Soldan Khad, Satluj valley (Kinnaur), Himachal Pradesh, India",Himachal Pradesh (Kinnaur),,,To geocode (place-level) | Not found,HP SDMA Flood Hazards: cloudburst & flash flood along Soldan Khad (2 Aug 1991),Not found
1995-09-04,14:00,Cloudburst / Flash flood,"Duling Khad / Tapri area (Kinnaur), Himachal Pradesh, India",Himachal Pradesh (Kinnaur),,,To geocode (place-level) | Not found,"HP SDMA Flood Hazards: cloudbursts in upper catchment; flash flood along Duling Khad (4 Sep 1995, 2 PM)",Not found
1995-09-05,06:00,Flood phase (post-cloudburst lake-burst sequence),"Duling Khad / Tapri area (Kinnaur), Himachal Pradesh, India",Himachal Pradesh (Kinnaur),,,To geocode (place-level) | Not found,"HP SDMA Flood Hazards: subsequent flood phase after cloudbursts (5 Sep 1995, 6 AM)",Not found
1995-09-05,09:00,Flood phase (post-cloudburst lake-burst sequence),"Duling Khad / Tapri area (Kinnaur), Himachal Pradesh, India",Himachal Pradesh (Kinnaur),,,To geocode (place-level) | Not found,"HP SDMA Flood Hazards: subsequent flood phase after cloudbursts (5 Sep 1995, 9 AM)",Not found
1997-08-11,,Flash flood / Landslide (cloudburst-linked),"Andhra Khad / Chirgaon (Pabbar valley), Shimla district, Himachal Pradesh, India",Himachal Pradesh (Shimla/Chirgaon),,,To geocode (place-level) | Not found,HP SDMA Flood Hazards: flash flood & landslide along Andhra Khad in Pabbar valley (11 Aug 1997),Not found
2001-07-23,,Cloudburst / Flash flood,"Sainj valley (Sainj & Jeeba nallah), Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Sainj),,,To geocode (place-level) | Not found,HP SDMA Flood Hazards: cloudbursts in upper Sainj valley causing flash floods (night of 23 Jul 2001),Not found
2001-08-21,,Cloudburst / Flash floods,"Ani Sub Division (Badhali, Sarli villages mentioned), Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Ani),,,To geocode (village-level) | Not found,HP SDMA Flood Hazards: cloudburst & flash floods in Ani Sub Division (night of 21–22 Aug 2001),Not found
2001-08-22,,Cloudburst / Flash floods,"Ani Sub Division (Badhali, Sarli villages mentioned), Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Ani),,,To geocode (village-level) | Not found,HP SDMA Flood Hazards: cloudburst & flash floods in Ani Sub Division (night of 21–22 Aug 2001),Not found
2003-07-16,,Cloudburst / Flash floods,"Gharsa valley, Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Gharsa),,,To geocode (valley-level) | Not found,HP SDMA Flood Hazards: flash floods due to cloudbursts in Gharsa valley (16 Jul 2003),Not found
2003-08-07,,Flash floods (cloudburst-linked),"Kangni nalla near Solang, Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Solang),,,To geocode (place-level) | Not found,HP SDMA Flood Hazards: flash floods in Kangni nalla near Solang (7 Aug 2003),Not found
2010-08-06,01:00-02:00,Cloudburst / Flash floods,"Leh town & surrounding areas (e.g., Choglamsar), Ladakh, India",Jammu & Kashmir (Leh/Ladakh) [historical admin],,,To geocode (town/area-level) | Not found,NIDM Newsletter (2010): Leh cloudburst between 1–2 AM on 6 Aug 2010,Not found
2012-09-14,~01:00,Cloudburst,"Rudraprayag district (affected villages), Uttarakhand, India",Uttarakhand (Rudraprayag),,,To geocode (village-level) | Not found,ReliefWeb/Sphere India: Rudraprayag cloudburst night 13–14 Sep 2012 around 01:00 AM,Not found
2013-06-16,,Extreme rainfall / cloudburst-triggered flash floods (broad event),Uttarakhand (multi-district flood/flash flood event),Uttarakhand (multi-district),,,To geocode (multi-location; can refine to key towns later) | Not found,ReliefWeb / humanitarian sitreps around mid-June 2013 Uttarakhand floods (cloudburst/heavy rainfall referenced in reports),Not found
2010-08-06,01:00-02:00,Cloudburst,"Leh (Leh town / Choglamsar), Ladakh, India",Jammu & Kashmir (Leh/Ladakh),,,To geocode (place-level) | Not found,NDM India SITREP NO-69/2010 (uid=NEW1293): Leh cloudburst night 5-6 Aug 2010,Not found
